"","target","N_Day","mes","year","nivel","tmed","pDia","niv7","niv14","niv30","niv60","niv90","niv180","t7","t14","t30","t60","t90","t180","p30","p60","p90","p180","niv010","niv020","niv030"
"9718",-12.8,38736,1,2006,609.12,3.5,0,609.0875,609.052,609.082258064516,608.781147540984,606.766373626374,600.245414364641,2.875,2.4,1.58870967741935,1.94262295081967,4.89285714285714,11.5511049723757,0,26.5,90,407.25,0.0129999999999995,-0.000499999999999545,0.002333333333335
"9725",-13.2,38743,1,2006,609,0,0,609.07875,609.080666666667,609.078709677419,608.929180327869,607.388131868132,600.720220994475,2.9375,2.86666666666667,1.94354838709677,1.73770491803279,4.10164835164835,10.7223756906077,0,26.5,70.5,402,-0.0100000000000023,-0.000999999999999091,-0.00400000000000015
"9732",-14.1,38750,2,2006,613.47,5.5,0,610.57,609.879333333333,609.454516129032,609.219016393443,608.044835164835,601.291325966851,2.15625,2.71666666666667,2.54838709677419,1.79508196721311,3.23626373626374,10.0497237569061,8,8.5,76,380,0.438999999999999,0.220500000000004,0.144333333333335
"9739",-14.5,38757,2,2006,615.49,5,0,614.72,612.59,610.776774193548,609.927868852459,608.998791208791,602.043425414365,5.1875,3.55,3.28225806451613,2.02459016393443,2.8543956043956,9.38259668508287,8,8,72,354.25,0.503999999999996,0.317500000000001,0.216333333333334
"9746",-15,38764,2,2006,616.57,6.5,0,616.105,615.407333333333,612.388709677419,610.759508196721,609.958461538462,602.866961325967,4.375,4.76666666666667,3.62903225806452,2.57786885245902,2.55769230769231,8.66436464088398,8,8,34.5,350.5,0.156000000000006,0.379000000000002,0.248666666666668
"9753",-15.3,38771,2,2006,617.42,4.3,0,617.03375,616.569333333333,614.192903225807,611.681475409836,610.69989010989,603.749889502762,5.2875,4.72,4.01774193548387,2.95983606557377,2.51978021978022,8.13701657458564,11.5,11.5,38,333.5,0.120999999999992,0.170999999999998,0.279
"9802",-17.6,38820,4,2006,626.8,10.25,0,626.2025,625.352666666667,622.900969354839,620.220302459016,617.276686263736,611.613748342541,9.10625,10.5033333333333,10.0532258064516,7.52540983606557,6.1543956043956,5.87596685082873,77.3,84.8,92.8,231.8,0.21099999999999,0.270999999999998,0.271333333333333
"9809",-17.4,38827,4,2006,627.34,13,0,627.085,626.633333333333,624.697420967742,621.444564754098,618.663719230769,612.785792541436,11.4375,10.2733333333333,10.7225806451613,8.3,6.83021978021978,5.81519337016575,55.3,86.8,94.8,184.8,0.0980000000000018,0.177000000000004,0.240000000000002
"9816",-17.4,38834,4,2006,627.67,16.25,0,627.51625,627.298,626.097741935484,622.618990983607,620.084378571429,613.801206906077,13.375,12.3666666666667,11.5032258064516,9.36065573770492,7.64340659340659,5.82348066298343,42.8,91.8,103.3,173.8,0.0529999999999973,0.0995000000000004,0.160666666666665
"9823",-17,38841,5,2006,627.82,14.5,0,627.76,627.636,626.994193548387,623.773909016393,621.390422527473,614.785295303867,13.84375,13.4333333333333,11.7967741935484,10.4639344262295,8.49230769230769,5.82209944751381,42.5,89.8,95.3,171.3,0.0280000000000086,0.0465000000000032,0.0959999999999998
